-- id,name,slug,description,image_id,position,meta_title,meta_description,og_image_id
f7b84b26-d8e4-4e5c-858c-745de5fe2528	Impulse	impulse	Our biggest range, and the one that makes a whole office look like it was planned rather than assembled over five years. Desks, pedestals, cupboards, bookcases, meeting tables and screens, all in the same thirteen finishes.		1	Impulse Office Furniture Range | Desks, Storage & Tables	The full Impulse range of office desks, pedestals, cupboards, bookcases and meeting tables. Thirteen matching finishes, one coherent office.	
676e7545-c401-4c10-ae8e-f08c9b83e507	Air Sit-Stand Desks	air-sit-stand-desks	Electric height adjustable desks and everything that bolts to them. Single, back to back, scalloped edge or the slimline Lite, plus the cable spines and trays that keep the floor tidy.		2	Air Electric Sit-Stand Desks | Height Adjustable Office Desks	Air electric height adjustable standing desks, bench desks and cable management. Single or back to back, with scalloped and Lite options.	
be7acfc2-6cdf-4132-87bb-98f2d7e946e1	Oslo	oslo	Warm wooden legs, white tops and a boardroom table that does not look like it came from an office catalogue. Bench desks, workstations and meeting tables that match.		3	Oslo Office Furniture | Wooden Leg Bench Desks & Boardroom Tables	The Oslo range of white bench desks, workstations and wooden leg boardroom tables, plus matching extension kits and cable trays.	
a971b549-8124-494c-874c-094ed535ba45	Qube Steel Storage	qube-steel-storage	Steel storage that will outlast the building. Filing cabinets, tambour cupboards, lockers and the filing frames and shelves that go inside them, including the Bisley built ones.		4	Qube Steel Office Storage | Filing Cabinets, Cupboards & Lockers	Qube and Qube by Bisley steel filing cabinets, tambour cupboards, staff lockers, filing frames and shelves in a range of colours.	
56ce23f0-25b8-404f-a1a0-b63cee6d7839	Brixworth Soft Seating & Booths	brixworth-soft-seating-booths	UK crafted sofas, armchairs and privacy booths, with weighted base coffee tables to sit alongside them. The bit of the office people actually want to sit in.		5	Brixworth Soft Seating & Office Privacy Booths | UK Crafted	Brixworth UK crafted office sofas, reception armchairs, modular seating, acoustic privacy booths and weighted base coffee tables.	
736a3a00-4083-44fa-b3d0-85fce30723c9	Phoenix Safes & Security	phoenix-safes-security	Fireproof safes, data safes, key cabinets and cash boxes. Dull until the day it matters, at which point rather the point.		6	Phoenix Safes & Security | Fireproof Safes, Key Cabinets & Cash Boxes	Phoenix office and home safes, fireproof document and data safes, key cabinets, key deposit safes and cash boxes.	
cdb4ce54-9877-4c01-b3bd-3a0dcaac72f9	Reception & Waiting Areas	reception-waiting-areas	First impressions, furnished. Sofas, tub chairs, accent armchairs, modular islands and the coffee tables to put in front of them.		7	Office Reception Furniture | Sofas, Tub Chairs & Coffee Tables	Furnish a reception or waiting area with office sofas, tub chairs, accent armchairs, modular seating and coffee tables.	
a4a3cfbe-c724-4639-bb33-3458ac4a2ecd	Breakout & Canteen	breakout-canteen	Somewhere to eat lunch that is not a desk. Bistro and poseur tables, bar stools, stacking dining chairs and mobile breakout tables.		8	Office Breakout & Canteen Furniture | Bistro Tables, Bar Stools & Chairs	Breakout and canteen furniture for offices: bistro and poseur tables, bar stools, stacking dining chairs and mobile breakout tables.	
60e0bff5-3903-41b4-a723-e25dcd81d1b2	Meeting & Boardroom	meeting-boardroom	Everything for the room where decisions get made, or at least where they get discussed at length. Boardroom tables, conference chairs, flip-tops and folding training tables.		9	Meeting Room & Boardroom Furniture | Tables & Conference Chairs	Boardroom and meeting room tables, conference and training chairs, flip-top and folding tables for offices and training rooms.	
11aec272-a910-4f2a-a7b8-b165e26d916c	Home Office	home-office	A proper desk, a chair that will not wreck your back by Thursday, and somewhere to put the printer. Kit for one person working at home.		10	Home Office Furniture | Desks, Chairs & Storage for Working From Home	Home office desks, ergonomic chairs, pedestals, monitor arms and chair mats for a single home workspace.	
0b4f521d-947f-4dc2-ad0d-509fb5664d46	Acoustic & Privacy	acoustic-privacy	For open plan offices that got a bit loud. Acoustic desk screens, floor dividers, wall tiles, ceiling baffles and fully enclosed privacy booths.		11	Office Acoustic Screens & Privacy Booths | Desk Dividers & Wall Panels	Acoustic desk screens, office floor dividers, PET felt wall tiles, ceiling baffles and enclosed privacy booths for open plan offices.	
843d5ff3-7be2-402c-aee1-860408c03258	Sit-Stand & Height Adjustable	sit-stand-height-adjustable	Desks that go up and down at the press of a button, plus the accessories that make standing all afternoon survivable.		12	Sit-Stand Desks | Electric Height Adjustable Office Desks	Electric sit-stand and height adjustable office desks, bench desks, leg frames, cable spines and anti fatigue mats.	
